Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ጻ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፆ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዸ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ች , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ሥ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቿ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቾ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቹ , 0 , 20340 , 90 , 90 , 81.884057971 , 0.0 , 0.0 , 0
ቸ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ቻ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቺ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ት , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ቴ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ቷ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ቶ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቱ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ተ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ታ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቲ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ቭ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቬ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቮ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ቩ , 0 , 20340 , 90 , 90 , 81.884057971 , 0.0 , 0.0 , 0
ቨ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቫ , 0 , 20340 , 90 , 90 , 81.884057971 , 0.0 , 0.0 , 0
ቪ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ብ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ቤ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ቧ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ቦ , 0 , 20340 , 90 , 90 , 81.884057971 , 0.0 , 0.0 , 0
ቡ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
በ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ባ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
